真相永远只有一个！——柯南,名侦探柯南
我要代表月亮消灭你！,美少女战士
"只要是我想要的,就算改变命运之轮也一定要得到。——帝释天",圣传
有开枪资格的，只有那些有觉悟被射杀的人。——鲁鲁修-VI-布里塔尼亚,叛逆的鲁鲁修
鲁鲁修，你知道雪花为什么是白色的吗？因为已经忘记自己本来是什么颜色啊。——C.C,叛逆的鲁鲁修
你……已经死了。——贱 次狼,北斗神拳
如果你执意追逐我的幻影，迟早会被真正的我给打败的！——进藤 光,棋魂
你就是我一生的对手！——塔矢 亮,棋魂
世界上根本没有任何东西，值得我们以玷污一局棋的代价去换取！ ——SAI,棋魂
人在真正感激别人的时候，头就会自动低下来…… ——阳子,十二国记
有话直说就是我的忍道！ ——漩涡鸣人,火影忍者
想你这样的人，想死在我的卍解下，还早了一千年。——朽木白哉,死神
干的漂亮，你的獠牙已经够到我了。——朽木白哉 VS 恋次,死神
在没有所爱的人的世界上一个人独活是件非常痛苦的事。——帝释天,圣传
没有牺牲就没有获得，想要得到什么，就必须付出同等代价。——爱德华,钢之炼金术师
"我叫路飞，蒙奇.D.路飞,是要成为海贼王的男人！——路飞",海贼王
你的败因只有一个，就是与我为敌！——六道骸,家庭教师
我的这把剑，它能触及到的地方就是我的国家。——坂田银时,银魂
