倘若只是为了驱赶心中的寂寞，找谁都可以的。,秒速5厘米
燃烧吧，我的小宇宙！,圣斗士星矢
愿我等之誓言，超越姓名与身份而永存。,风姿物语
低头不是认输，是要看清自己的路；昂头不是骄傲，是要看清自己的天空。,科比·布莱恩特
黑暗不能驱除黑暗，只有光明可以做到；仇恨不能驱除仇恨，只有爱可以做到。,
与其被自己的本性牵着走而痛苦，倒不如试着改变自己。,银魂
与众不同的生活方式很累人呢，因为找不到借口。,幸运星
我喜欢你们！超喜欢的！大家和我交往吧！绝对会让你们幸福的！,学生会的一己之见
谎言不一定是谎言，被发现的谎言，才算是谎言。,秋之回忆
臣妾做不到啊~,甄嬛传
24岁的阿升你好，我是15岁的美加子，我现在也还是非常、非常的喜欢阿升哦！,星之声
我会继续等着你，就算是一万二千年。,创圣的大天使EVOL
二次元什么的我本来是不感冒的，直到我的膝盖中了一箭。,
记性太好，有时候是一种负担。容易忘记往事的人，是幸福的。,九ちのセカィ
生尽欢，死无憾。,仙剑4
情深不寿，强极则辱，谦谦君子，温润如玉。,书剑恩仇录
羁绊是那不可切断的深切联系。即使分离，心与心也紧紧的连在一起。,假面骑士kabuto
人经历风浪是会变得更强，可是船不同，日积月累的只有伤痛。,海贼王
有光的地方必有影，有影的地方也必定有光，绝望的颜色越是浓重，一定会有光芒耀眼的希望。,银魂
问君能有几多愁？恰似一部新番没看头。,竹田花落
无论乌云有多浓厚，星星也一定还在，只是暂时看不到了而已。,电波女与青春男
与你的生命等价的东西，这个世界上根本没有。,
有你在的日子才是我的日常。,琴浦小姐
邂逅本身，就是一种奇迹啊。,游魂
人总是会变的，不要害怕改变哦。,秋之回忆
在回忆里留下微笑是为了不让你哭泣...,原创
新闻联播的牛X之处在于就算你一直在换台，也能完整的看完一条新闻。,
世界这么大，人生这么长，总会有那么一个人，让你想要温柔的对待。,哈尔的移动城堡
"“你没车没房没卡,拿什么和我谈恋爱？”“......我有高达......”",gundam
比希望更炙热，比绝望更深邃，这就是爱啊。,魔法少女小圆-叛逆的物语
只要有想见面的人，自己就不再是孤单一人。,夏目友人帐
你制定的计划是.txt还是.exe?,
树上的鸟儿成双对，对面的冤家你想掐死谁。,
我的一生，无怨无悔！,北斗神拳
我决定以人类的一个方法来感激你，我打算以身相许！,仙剑奇侠传
心，可是很重的。,哈尔的移动城堡
爱迪生说过：“要把BOSS打倒就要准备足够的等级。”,学生会的一己之见
但是，这一次你将不再孤独。,魔法禁书目录
做不到的话，不过就是一死 。但是，赢了就能活下去，要是不战斗就赢不了。,进击的巨人
以前高中时，羡慕大学考试只要及格就行；现在大学了，怀念高中考试及不及格都行⋯⋯,
就算是自私⋯⋯我也希望那些人能够永远都有笑容⋯⋯,夏目友人帐
今后无论发生什么事也好，这个左手上的⋯⋯都是同伴的记号！,海贼王
胜而不灭，霸而不辱，这才是真正的征服。,fate zero
风停之后再扬帆，船绝不会前行。,分身
一年、两年、三年⋯⋯十年、百年、千年⋯⋯即使用永恒的时间来等待，我也想再见你一面。,幻想三国志
一定是红线下得太乱，才不小心把我和你绑在一起了……却没系稳。,_好多虫漫画
一句话，不足以讲述一个故事，却可以让我们回味那些个动人的瞬间。,
我只是做了我能做的事，没有时间想将来。,秒速五厘米
隐约雷鸣，阴霾天空，但盼风雨来，能留你在此。,言叶之庭
从小好女色的男人的想像力比不上狗。,寒蝉鸣泣之时
不能逃避，不能逃避，不能逃避，不能逃避⋯⋯,EVA
要让一群人团结起来，需要的不是英明的领导，而是共同的敌人。,我的青春恋爱物语果然有问题
十步做一死，千里不留行，事了拂衣去，深藏功与名~,侠客行
自己的感觉，不说出来，别人也不会懂，如果不懂，就应该互相沟通。,好想告诉你
我除了投三分，就什么都没有了⋯⋯,灌篮高手
你再怎么称赞我，我也不会高兴的，你这个混蛋~,海贼王
喜欢大胸只是本能，喜欢贫乳才是审美。,呃……
美丽的不是这个世界，而是看世界的你的眼神。,吸血鬼骑士
树大必有枯枝，人多必有白痴。,谢谢你！坏运
你在颓废的时候别人都在努力哦~♪,
我年轻，我傲娇。,
我是一个经常笑的人，可我不是经常开心的人。,未闻花名
面对无知的嘲笑，我只能为他们默哀。,
烦恼这东西，是只有活着的人，才有的特权哦。,我们的存在
堕入黑暗裏的可怜影子啊，停止伤害他人的行为吧，犯下罪行的灵魂⋯⋯想死一次么？,地狱少女
一起去看星星吧。,未来日记
在茫茫人海中，同样是高中生，同乘7点50分的电车，看着同一片海⋯⋯那个瞬间不就是如奇迹般的邂逅吗。,单恋电车
要相信同伴，拯救同伴。,绯弹的亚里亚
XX什么的，最讨厌了！,
离别并不痛苦，因为我们都微笑着。,青之驱魔师
失去的东西虽然拿不回来，但是，忘记的事情是可以想起来的。,TOUCH
过去的事情可以不忘记，但一定要放下。,
就算是对我抱有敌意的人，也是被某个人深爱着而降生在这个世界上的。,罪恶王冠
你需要找出面对明天的力量。,The Battle of Chernobyl
我相信十年后的八月，我们还能再相遇。,那朵花
就算一次也好，我想在这颗星球上尽情奔跑。,Eden
前天是小兔子，昨天是小鹿，今天是你。,CLANNAD
空山新雨后，兵长一米六。,百度贴吧
繁花落尽，明月映着谁老去……,
我的小伙伴们都惊呆了！,
我们在年少时并不知道，有些乐章一旦开始，唱的就是曲终人散。,九ちのセカィ
"比自己,比梦想更重要的东西永远都存在着...",钢之炼金术师
一天吐槽太多次的话，梗也是会用完的。,我的脑内恋爱选项
我在未来等你。,穿越时空的少女
求求你，不要对我这么温柔！,秒速五厘米
正义不会因为无人歌颂而变成非议。,阿亚罗克年代记
你还是这么冷漠啊。不过，仅此而已的话，我是不会泄气的。,银魂
生活中若没有朋友，就像生活中没有阳光一样。,网络
君子可寓意于物，但不可留意于物。,
当你想做一件事，却无能为力的时候，是最痛苦的。,高达SEED
去死两次！,迷途猫
我敬你是条汉子！,论如何回答女友问题“你为什么对我这么好”
想你想到手都断了…,
你为了你的正义，我为了我的正义。,火影忍者
老是低着头，幸福可是会离你而去的喔。,我们的仙境
用番茄Lu过…比香蕉好←那是你没领悟到香蕉的正确用法,樱花庒的宠物女孩 10 B站弹幕
其实，恋爱这种东西，当你看上人家的那一刹那就已经失败了。,秋之回忆
我爱的人也爱着我，对我来说这简直是个奇迹。,NANA
我爱上的人，称我为怪叔叔,
少女祈祷中⋯⋯,东方project
我的内心就和厕纸一样单纯！,Little Busters!
世界并不完美，却因此而美丽。,奇诺之旅
智商是硬伤。,
如果不能忠于自己的心，胜负又有什么价值呢？,塔希里亚故事集
一天最大任务莫过于，好好睡觉，好好醒来。,火影忍者
我们都在命运之湖上荡舟划桨，波浪起伏着而我们无法逃脱孤航。但是假使我们迷失了方向，波浪将指引我们穿越另一天的曙光。,死神
今天的早餐是：早苗的面包、秋子的果酱和观铃的果汁~,
这个城市大得让人到处能一见钟情，却没法重逢。,九ちのセカィ
我们的心就像那天空一样，永不分离。,缘之空
能够轻易就放弃的梦想，有存在的价值么？,守护甜心
"Nothing is true, everything is permitted.",刺客信条
不能哭！唱歌吧！继续唱下去吧！不是为了赞美神，是为了向神挑战而唱！,文学少女
成熟不是人的心变老，是泪在打转还能微笑。,
不要相信你自己，要相信相信你的我。相信你吧，相信我相信着的你吧。,天元突破グレンラガン
很多人知道HACK一词，却不知道它的起源。,
一个人吃饭，太寂寞了。,无头骑士异闻录
我问你：你是我的Master吗？,命运守护夜
流浪去吧，总会在世界的一角找到愿意懂你的人。,几米
请叫我女王大人~,十万个冷笑话
我是要成为海贼王的男人！,海贼王
哭泣并不能改变任何事情。,推理之绊
错误可不是为了别人才改的过来的，要为了自己才能改正。,XXXHolic
魔非魔，道非道，善恶在人心。欲非欲，情非情，姻缘由天定。,仙剑奇侠传
生生生生暗生始，死死死死冥死终。,东方永夜抄
我们不应该根据背负的罪孽来选择道路，而应在选择的道路上背负自己的罪孽。,空之境界
比起悲伤来说，无法分享快乐这件事，要更加的寂寞吧。,AIR
承君此诺，必守一生。,仙剑奇侠传四
你不会死的，因为我会保护你.,EVA
天空本是一种风景，可是遇见你之后，它变成了一种心情。,九ちのセカィ
就算鼻血流尽，也不能放弃妄想。,摇曳百合
我没有梦想，但是可以守护他人的梦想,假面骑士555
行天之道，总司一切,假面骑士Kabuto
坚持本心不断前行是人之道，而开辟这条道路的，便是天之道,假面骑士kabuto
"If you understand what you&#39;re doing, you&#39;re not learning anything.",Anonymous
"Only two things are infinite, the universe and human stupidity, and I&#39;m not sure about the former.",Albert Einstein
"Time is a great teacher, but unfortunately, it kills all of its pupils.",Louis Hector Berlioz
没有名字的大笨蛋要对我做什么？3434343,音乐
失礼。噛みました,化物語(上)
失礼、噛みました,化物語(上)
在于你想不想去做！,
人心是太复杂的东西，退一步怕错过，进一步怕碰壁，千算万算终究还是站在原来的地方。,小说
请叫我伊凡大人，哈哈哈~~~,伊凡大人曰
不要妒忌别人，只要羡慕别人就好。,
爱妃这是作死，等朕处理完国事，定要让你好看。,
会长和往常一样挺着小小的胸部一副自以为了不起的样子套用某本书的内容说道⋯⋯,学生会的一己之见
我什么都不知道...别杀我...啊.啊.啊...诶，不对啊.我是小学生啊,
为了维护宇宙和平，打起精神来！~~,
与怪物战斗的人，应当小心自己不要成为怪物。当你远远凝视深渊时，深渊也在凝视你。,《查拉圖斯特拉如是說》- 弗里德里希·威廉·尼采
那种亲密的人突然陌生，希望完全落空的感觉，就好像喝口凉水居然被烫到。,
所谓用功学习就是获得让人生不走歪路的知识,俺物语
